"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"1500000US510594315003","Block Group 3, Census Tract 4315, Fairfax County, Virginia","796","107","43","40","0","13","9","15","0","13","0","13","0","13","11","16","21","23","0","13","52","48","9","14","18","19","121","83","124","58","185","77","203","59",
"1500000US510594316011","Block Group 1, Census Tract 4316.01, Fairfax County, Virginia","1595","249","48","43","31","35","75","45","95","113","34","42","39","37","32","36","31","36","253","246","123","86","163","96","143","71","181","69","150","77","150","77","47","43",
"1500000US510594316021","Block Group 1, Census Tract 4316.02, Fairfax County, Virginia","979","130","13","23","0","13","14","25","41","67","0","13","93","71","0","13","132","149","115","112","1","13","54","49","73","76","49","40","26","40","113","77","255","95",
"1500000US510594316022","Block Group 2, Census Tract 4316.02, Fairfax County, Virginia","323","105","0","13","0","13","0","13","28","39","0","13","0","13","0","13","10","18","14","26","11","18","43","71","0","13","54","46","104","68","34","33","25","29",
"1500000US510594316023","Block Group 3, Census Tract 4316.02, Fairfax County, Virginia","543","144","0","13","39","55","21","34","19","31","45","55","0","13","14","26","0","13","0","13","0","13","84","82","71","65","0","13","88","62","57","54","105","78",
"1500000US510594318011","Block Group 1, Census Tract 4318.01, Fairfax County, Virginia","701","105","19","22","19","22","0","13","0","13","7","11","0","13","0","13","18","22","10","17","17","17","59","41","105","56","143","85","116","74","120","69","68","41",
"1500000US510594318012","Block Group 2, Census Tract 4318.01, Fairfax County, Virginia","628","96","10","16","0","13","0","13","0","13","26","28","0","13","16","21","28","33","21","31","0","13","124","96","64","43","25","24","69","36","163","60","82","60",
"1500000US510594318021","Block Group 1, Census Tract 4318.02, Fairfax County, Virginia","648","77","0","13","18","27","0","13","0","13","0","13","8","13","22","33","11","18","0","13","0","13","31","29","61","40","42","30","58","41","72","58","325","78",
"1500000US510594318022","Block Group 2, Census Tract 4318.02, Fairfax County, Virginia","333","61","7","11","0","13","12","18","0","13","34","45","13","20","0","13","0","13","0","13","9","15","0","13","64","41","18","18","50","28","53","42","73","45",
"1500000US510594319001","Block Group 1, Census Tract 4319, Fairfax County, Virginia","552","112","15","24","12","18","0","13","30","27","0","13","9","16","0","13","16","20","15","19","0","13","10","15","36","30","25","24","29","35","178","112","177","61",
"1500000US510594319002","Block Group 2, Census Tract 4319, Fairfax County, Virginia","494","66","0","13","0","13","0","13","0","13","0","13","0","13","0","13","9","14","0","13","0","13","19","22","45","33","24","25","75","36","96","45","226","80",
"1500000US510594320001","Block Group 1, Census Tract 4320, Fairfax County, Virginia","727","167","6","10","0","13","16","21","88","136","0","13","0","13","0","13","12","17","20","30","31","34","37","28","24","24","55","36","59","37","163","107","216","67",
"1500000US510594320002","Block Group 2, Census Tract 4320, Fairfax County, Virginia","424","76","18","15","17","19","0","13","0","13","10","16","0","13","0","13","0","13","0","13","24","27","40","33","53","35","57","35","48","41","100","78","57","41",
"1500000US510594321001","Block Group 1, Census Tract 4321, Fairfax County, Virginia","631","97","0","13","29","32","10","17","16","17","0","13","10","16","15","16","29","26","10","14","103","56","60","48","89","47","145","66","7","11","59","39","49","31",
"1500000US510594321002","Block Group 2, Census Tract 4321, Fairfax County, Virginia","805","113","12","19","0","13","27","42","0","13","16","24","0","13","0","13","0","13","11","16","0","13","43","47","40","34","106","70","38","28","237","69","275","98",
"1500000US510594322011","Block Group 1, Census Tract 4322.01, Fairfax County, Virginia","951","87","49","39","6","8","0","13","4","7","10","18","18","17","45","39","28","32","70","44","38","30","62","33","183","66","157","68","81","46","112","57","88","55",
